cps,toi,tic,ra,dec,Vmag,Rs,smass,Rp,ruwe,evol,period
HIP57099,1801.01,119584412,175.5766,23.0269,11.58,0.55,0.54,2.17,1.05,MS,21.284406
T001803,1803.01,144401492,178.0466,35.1718,11.870999999999999,0.69,0.79,4.03,1.1,MS,12.891153
T001805,1805.01,165763244,232.1401,55.1854,11.513,0.86,0.89,3.12,0.84,MS,24.073068
HIP65469,1807.01,180695581,201.2833,38.9225,10.0,0.74,0.73,1.53,1.05,MS,0.549343
T001818,1818.01,330799746,193.1311,34.9011,11.417,1.63,1.21,9.87,1.1,MS,5.5107800000000005
97658,1821.01,82308728,168.6382,25.7104,7.76,0.77,0.86,2.15,1.01,MS,9.497
TIC142381532,1823.01,142381532,196.2204,63.7538,10.728,0.82,0.77,8.14,1.08,MS,194.05
T001824,1824.01,142387023,197.7312,61.7448,9.721,0.82,0.88,2.4,0.99,MS,22.80811
110067,1835.01,347332255,189.8396,20.0278,8.419,0.78,0.91,1.82,0.99,MS,5.64196
T001839,1839.01,381714186,196.8332,5.8523,10.9,0.85,0.93,2.47,0.98,MS,1.424817
134319,1860.01,202426247,226.4579,64.0472,8.4,0.93,1.01,1.42,1.0,MS,1.066211
T002016,2016.02,219508169,246.7975,42.6875,11.162,0.84,0.88,2.96,0.9,MS,2.4586900000000003
HIP74981,2018.01,357501308,229.8381,29.2062,10.25,0.62,0.66,2.61,0.97,MS,7.437114999999999
T002023,2023.01,16884216,232.8631,33.902,9.366,0.7,0.82,1.66,1.04,MS,11.190049
149026,2024.01,255930614,247.6234,38.3473,8.15,1.46,1.14,8.53,0.96,MS,2.87577
T002026,2026.01,407059875,5.47,66.1682,11.384,0.77,0.84,2.27,0.95,MS,7.1924
T002039,2039.01,237071229,307.0229,61.8715,11.099,1.48,1.24,5.48,0.87,MS,11.24886
T002041,2041.01,54364414,19.2341,62.3518,11.100999999999999,1.02,1.05,3.01,0.99,MS,1.37477
T002076,2076.01,27491137,217.3927,39.7904,9.139,0.77,0.87,2.89,1.0,MS,10.355753
T002077,2077.01,230075227,244.377,68.8945,10.344000000000001,0.85,0.91,1.81,1.03,MS,6.115464
T002088,2088.01,441765914,261.3752,75.8823,11.638,0.83,0.8,3.51,0.85,MS,124.729948
T002092,2092.01,393965778,212.5469,45.56399999999999,11.295,1.05,0.96,3.19,0.89,MS,4.303042
T002100,2100.01,219436394,205.5944,76.648,11.432,0.85,0.97,2.8,0.89,MS,23.657487
T002101,2101.01,165527918,266.1336,54.0911,11.21,1.0,0.99,2.46,0.91,MS,9.075502
T002110,2110.01,394029948,282.2290000000001,78.5689,10.211,1.39,1.14,3.21,0.9,MS,32.76639
155060,2128.01,21832928,256.9826,32.1055,7.221,1.13,1.1,1.97,0.99,MS,16.334513
