,star_id,id,observation_id,ra,dec,instrument,counts,iodine_in,bjd,obs_type
172,HD 12572,1435540,cvz.092,2.0602583,21.280611,APF,272000000,t,2459607.69785037,RV
173,HD 12572,1435618,cwb.591,2.0602583,21.280611,APF,254000000,t,2459609.70994129,RV
174,HD 12572,1435619,cwb.592,2.0602583,21.280611,APF,220000000,t,2459609.73099229,RV
175,HD 12572,1435699,cwd.399,2.0602583,21.280611,APF,271000000,t,2459611.7371122,RV
176,HD 12572,1435700,cwd.400,2.0602583,21.280611,APF,271000000,t,2459611.7497612,RV
177,HD 12572,1435779,cwh.285,2.0602583,21.280611,APF,196000000,t,2459615.63827704,RV
178,HD 12572,1435780,cwh.286,2.0602583,21.280611,APF,222000000,t,2459615.65965204,RV
179,HD 12572,1435945,cwm.783,2.0602583,21.280611,APF,189000000,t,2459620.63842583,RV
180,HD 12572,1435946,cwm.784,2.0602583,21.280611,APF,192000000,t,2459620.66008983,RV
181,HD 12572,1436061,cwo.383,2.0602583,21.280611,APF,270000000,t,2459622.63770074,RV
182,HD 12572,1436062,cwo.384,2.0602583,21.280611,APF,270000000,t,2459622.65243374,RV
183,HD 12572,1436245,j451.268,2.0602583,21.280611,HIRES,231084,t,2459626.78432341,RV
184,HD 12572,1436391,cww.683,2.0602583,21.280611,APF,200000000,t,2459630.64266041,RV
185,HD 12572,1436392,cww.684,2.0602583,21.280611,APF,217000000,t,2459630.66422141,RV
186,HD 12572,1436750,cxh.582,2.0602583,21.280611,APF,65100000,t,2459641.62545295,RV
187,HD 12572,1436751,cxh.583,2.0602583,21.280611,APF,117000000,t,2459641.64870395,RV
188,HD 12572,1442954,cxn.382,2.0602583,21.280611,APF,270000000,t,2459647.6257497,RV
189,HD 12572,1442955,cxn.383,2.0602583,21.280611,APF,271000000,t,2459647.6372077,RV
190,HD 12572,1446192,cxq.282,2.0602583,21.280611,APF,213000000,t,2459650.63033458,RV
191,HD 12572,1446193,cxq.283,2.0602583,21.280611,APF,218000000,t,2459650.65107358,RV
192,HD 12572,1448265,cxs.782,2.0602583,21.280611,APF,30000000,t,2459652.6328455,RV
193,HD 12572,1448266,cxs.783,2.0602583,21.280611,APF,47800000,t,2459652.6628665,RV
194,HD 12572,1545944,j471.516,2.0602583,21.280611,HIRES,250332,t,2459750.11655603,RV
195,HD 12572,1546353,dbz.510,2.0602583,21.280611,APF,270000000,t,2459763.93616311,RV
196,HD 12572,1546354,dbz.511,2.0602583,21.280611,APF,271000000,t,2459763.94859511,RV
197,HD 12572,1546585,j476.93,2.0602583,21.280611,HIRES,250400,t,2459769.12352421,RV
198,HD 12572,1676091,dcf.504,2.0602583,21.280611,APF,271000000,t,2459769.92145589,RV
199,HD 12572,1676092,dcf.505,2.0602583,21.280611,APF,271000000,t,2459769.93440889,RV
200,HD 12572,1546785,dch.397,2.0602583,21.280611,APF,210000000,t,2459771.91931282,RV
201,HD 12572,1546786,dch.398,2.0602583,21.280611,APF,226000000,t,2459771.94061182,RV
202,HD 12572,1546843,dcj.794,2.0602583,21.280611,APF,235000000,t,2459773.91491475,RV
203,HD 12572,1546844,dcj.795,2.0602583,21.280611,APF,270000000,t,2459773.93534475,RV
204,HD 12572,1546918,dcl.402,2.0602583,21.280611,APF,202000000,t,2459775.89896668,RV
205,HD 12572,1546919,dcl.403,2.0602583,21.280611,APF,211000000,t,2459775.91969768,RV
206,HD 12572,1547073,dcp.298,2.0602583,21.280611,APF,212000000,t,2459779.89130053,RV
207,HD 12572,1547074,dcp.299,2.0602583,21.280611,APF,243000000,t,2459779.91252953,RV
208,HD 12572,1547242,dcs.118,2.0602583,21.280611,APF,270000000,t,2459782.95036642,RV
209,HD 12572,1547243,dcs.119,2.0602583,21.280611,APF,270000000,t,2459782.96940742,RV
210,HD 12572,1549717,dcv.098,2.0602583,21.280611,APF,272000000,t,2459785.87277832,RV
211,HD 12572,1549718,dcv.099,2.0602583,21.280611,APF,272000000,t,2459785.88560332,RV
212,HD 12572,1551107,j480.91,2.0602583,21.280611,HIRES,250120,t,2459786.11399323,RV
213,HD 12572,1552534,dcx.496,2.0602583,21.280611,APF,271000000,t,2459787.89311225,RV
214,HD 12572,1552535,dcx.497,2.0602583,21.280611,APF,271000000,t,2459787.90461825,RV
215,HD 12572,1555374,dcz.213,2.0602583,21.280611,APF,73600000,t,2459789.96969017,RV
216,HD 12572,1555375,dcz.214,2.0602583,21.280611,APF,273000000,t,2459789.98384717,RV
217,HD 12572,1572860,ddn.423,2.0602583,21.280611,APF,270000000,t,2459803.96421568,RV
218,HD 12572,1572861,ddn.424,2.0602583,21.280611,APF,270000000,t,2459803.97517768,RV
219,HD 12572,1575483,ddp.110,2.0602583,21.280611,APF,270000000,t,2459805.98232161,RV
220,HD 12572,1575484,ddp.111,2.0602583,21.280611,APF,270000000,t,2459805.99714961,RV
221,HD 12572,1582199,ddu.309,2.0602583,21.280611,APF,270000000,t,2459810.94045144,RV
222,HD 12572,1582200,ddu.310,2.0602583,21.280611,APF,270000000,t,2459810.95313844,RV
223,HD 12572,1587132,ddy.323,2.0602583,21.280611,APF,270000000,t,2459814.95830031,RV
224,HD 12572,1587133,ddy.324,2.0602583,21.280611,APF,270000000,t,2459814.97129931,RV
225,HD 12572,1675979,deb.311,2.0602583,21.280611,APF,270000000,t,2459817.92817821,RV
226,HD 12572,1675980,deb.312,2.0602583,21.280611,APF,270000000,t,2459817.94164021,RV
227,HD 12572,1597170,ded.823,2.0602583,21.280611,APF,270000000,t,2459819.94376714,RV
228,HD 12572,1597171,ded.824,2.0602583,21.280611,APF,270000000,t,2459819.95665014,RV
229,HD 12572,1688721,def.303,2.0602583,21.280611,APF,270000000,t,2459821.99382307,RV
230,HD 12572,1688722,def.304,2.0602583,21.280611,APF,270000000,t,2459822.00799107,RV
231,HD 12572,1676049,dei.221,2.0602583,21.280611,APF,270000000,t,2459824.93322997,RV
232,HD 12572,1676050,dei.222,2.0602583,21.280611,APF,270000000,t,2459824.95026897,RV
233,HD 12572,1688719,dek.828,2.0602583,21.280611,APF,270000000,t,2459826.95806691,RV
234,HD 12572,1688720,dek.829,2.0602583,21.280611,APF,270000000,t,2459826.97217691,RV
