star_id,id,observation_id,ra,dec,instrument,counts,iodine_in,bjd
12572,1421476,che.092,2.0602583,21.280611,apf,226000000,t,2459222.76054598
12572,1420899,cgm.394,2.0602583,21.280611,apf,336000000,t,2459204.69479389
12572,1420711,cga.808,2.0602583,21.280611,apf,293000000,t,2459192.85324849
12572,1420515,cfw.701,2.0602583,21.280611,apf,258000000,t,2459188.75214469
12572,1420377,j395.387,2.0602583,21.280611,hires_j,203792,t,2459188.78273384
12572,1420269,j395.81,2.0602583,21.280611,hires_j,250136,t,2459187.83238615
12572,1419983,cfr.105,2.0602583,21.280611,apf,328000000,t,2459183.88906794
12572,1419804,cfm.304,2.0602583,21.280611,apf,285000000,t,2459178.7781782
12572,1419750,cfj.506,2.0602583,21.280611,apf,277000000,t,2459175.77522035
12572,1419704,cfd.106,2.0602583,21.280611,apf,375000000,t,2459169.79278965
12572,1419663,cfc.801,2.0602583,21.280611,apf,391000000,t,2459168.7873467
12572,1419631,cfa.315,2.0602583,21.280611,apf,72200000,t,2459166.7961998
12572,1419548,ces.491,2.0602583,21.280611,apf,319000000,t,2459158.9273322
12572,1419527,cer.295,2.0602583,21.280611,apf,391000000,t,2459157.82644325
12572,1419497,ceq.096,2.0602583,21.280611,apf,354000000,t,2459156.8090813
12572,1419455,cep.610,2.0602583,21.280611,apf,338000000,t,2459155.82788635
12572,1419168,ceh.488,2.0602583,21.280611,apf,374000000,t,2459147.85220375
12572,1419082,j390.86,2.0602583,21.280611,hires_j,44220,t,2459143.07340993
12572,1418940,j389.1922,2.0602583,21.280611,hires_j,250216,t,2459124.06804342
12572,1418881,j389.1752,2.0602583,21.280611,hires_j,250188,t,2459123.13792085
12572,1418762,j389.1510,2.0602583,21.280611,hires_j,250028,t,2459122.05785911
12572,1418436,j389.698,2.0602583,21.280611,hires_j,250384,t,2459118.03804092
12572,1418371,j389.464,2.0602583,21.280611,hires_j,250512,t,2459116.98864488
12572,1418318,j389.280,2.0602583,21.280611,hires_j,250720,t,2459116.0364047
12572,1418236,j389.116,2.0602583,21.280611,hires_j,250680,t,2459115.09702398
12572,1413675,j385.1106,2.0602583,21.280611,hires_j,250152,t,2459092.09755373
12572,1413674,j385.305,2.0602583,21.280611,hires_j,168612,t,2459087.99440735
12572,1412703,cbo.815,2.0602583,21.280611,apf,374000000,t,2459077.01800835
12572,1412630,cbl.106,2.0602583,21.280611,apf,271000000,t,2459073.9440755
12572,1412341,cbh.715,2.0602583,21.280611,apf,348000000,t,2459069.9996737
12572,1412249,j382.415,2.0602583,21.280611,hires_j,250572,t,2459069.09846578
12572,1412049,cbc.501,2.0602583,21.280611,apf,503000000,t,2459064.86819796
12572,1411983,j381.85,2.0602583,21.280611,hires_j,250188,t,2459064.08526432
12572,1411955,cba.103,2.0602583,21.280611,apf,345000000,t,2459062.91195606
135694,2051693,j509.95,15.191464,71.84075,hires_j,60176,t,2460066.92554098
135694,1802881,dkd.414,15.191464,71.84075,apf,499000000,t,2459976.08443565
135694,1786834,djw.319,15.191464,71.84075,apf,541000000,t,2459969.04075371
135694,1740697,dim.423,15.191464,71.84075,apf,176000000,t,2459933.08335404
135694,1676211,dhh.131,15.191464,71.84075,apf,391000000,t,2459902.01524332
135694,1676088,dcf.500,15.191464,71.84075,apf,192000000,t,2459769.84633235
135694,1638044,dgf.733,15.191464,71.84075,apf,540000000,t,2459874.03521755
135694,1631941,dft.122,15.191464,71.84075,apf,541000000,t,2459862.00227665
135694,1628354,dfe.830,15.191464,71.84075,apf,541000000,t,2459847.03396277
135694,1604229,j487.70,15.191464,71.84075,hires_j,60464,t,2459826.76438686
135694,1587129,ddy.305,15.191464,71.84075,apf,249000000,t,2459814.85518602
135694,1559214,j481.470,15.191464,71.84075,hires_j,250160,t,2459792.74457833
135694,1556396,dda.392,15.191464,71.84075,apf,216000000,t,2459790.8541622
135694,1549712,dcv.101,15.191464,71.84075,apf,180000000,t,2459785.92150224
135694,1547191,dcr.716,15.191464,71.84075,apf,309000000,t,2459781.93312527
135694,1546985,dcm.606,15.191464,71.84075,apf,389000000,t,2459776.9645583
135694,1546817,dci.605,15.191464,71.84075,apf,177000000,t,2459772.96222533
135694,1546621,j476.267,15.191464,71.84075,hires_j,250312,t,2459769.96559021
135694,1546496,dbu.313,15.191464,71.84075,apf,375000000,t,2459758.96053043
135694,1546470,dca.690,15.191464,71.84075,apf,267000000,t,2459764.76758139
135694,1546371,j475.63,15.191464,71.84075,hires_j,250304,t,2459765.95046749
135694,1545909,dbl.696,15.191464,71.84075,apf,277000000,t,2459749.92221549
135694,1545529,dbe.049,15.191464,71.84075,apf,459000000,t,2459742.83125954
135694,1545349,j469.673,15.191464,71.84075,hires_j,250808,t,2459740.78724463
135694,1545143,j469.291,15.191464,71.84075,hires_j,250416,t,2459738.92216031
135694,1543898,daz.687,15.191464,71.84075,apf,263000000,t,2459737.77234957
135694,1540180,dau.587,15.191464,71.84075,apf,293000000,t,2459732.7688026
135694,1540179,dao.287,15.191464,71.84075,apf,183000000,t,2459726.84149764
135694,1540178,daj.089,15.191464,71.84075,apf,258000000,t,2459721.83728567
135694,1512735,dae.688,15.191464,71.84075,apf,229000000,t,2459716.81402569
135694,1507794,j464.112,15.191464,71.84075,hires_j,250788,t,2459711.90281181
135694,1507759,czz.490,15.191464,71.84075,apf,526000000,t,2459711.80569572
135694,1502083,czs.689,15.191464,71.84075,apf,293000000,t,2459704.81989476
135694,1496673,czn.688,15.191464,71.84075,apf,223000000,t,2459699.80319579
135694,1490107,czh.291,15.191464,71.84075,apf,532000000,t,2459693.83727082
135694,1486895,j459.296,15.191464,71.84075,hires_j,250108,t,2459691.13695629
135694,1485785,j459.98,15.191464,71.84075,hires_j,250648,t,2459690.13836975
135694,1482549,cza.382,15.191464,71.84075,apf,347000000,t,2459686.87463986
135694,1477225,j458.412,15.191464,71.84075,hires_j,250576,t,2459681.9111334
135694,1469648,cyo.031,15.191464,71.84075,apf,500000000,t,2459674.91298892
135694,1465299,cyj.694,15.191464,71.84075,apf,209000000,t,2459669.90037094
135694,1464240,cyi.427,15.191464,71.84075,apf,206000000,t,2459668.97831694
135694,1457869,j456.289,15.191464,71.84075,hires_j,250624,t,2459662.06154619
135694,1457830,cyb.093,15.191464,71.84075,apf,277000000,t,2459661.88010198
135694,1456748,j456.115,15.191464,71.84075,hires_j,250260,t,2459661.06236111
135694,1450369,j454.118,15.191464,71.84075,hires_j,250584,t,2459655.0156049
135694,1450324,cxu.296,15.191464,71.84075,apf,522000000,t,2459654.98305801
135694,1441903,cxm.121,15.191464,71.84075,apf,251000000,t,2459646.98357904
135694,1436644,cxc.138,15.191464,71.84075,apf,296000000,t,2459637.05580008
135694,1436558,j452.334,15.191464,71.84075,hires_j,250396,t,2459633.07913532
135694,1436458,j452.141,15.191464,71.84075,hires_j,250564,t,2459632.08081833
135694,1436388,cww.715,15.191464,71.84075,apf,316000000,t,2459631.0283571
135694,1436318,cwu.126,15.191464,71.84075,apf,320000000,t,2459629.07945311
135694,1435941,cwm.792,15.191464,71.84075,apf,532000000,t,2459620.82901414
135694,1435775,cwh.294,15.191464,71.84075,apf,161000000,t,2459615.80602016
135694,1435537,cvz.113,15.191464,71.84075,apf,125000000,t,2459608.00615818
135694,1435500,cvq.529,15.191464,71.84075,apf,541000000,t,2459599.05986721
135694,1435310,cvw.094,15.191464,71.84075,apf,364000000,t,2459604.72259219
135694,1434904,cvm.303,15.191464,71.84075,apf,160000000,t,2459594.78540923
135694,1434806,j447.243,15.191464,71.84075,hires_j,60508,t,2459593.15236817
135694,1434420,cvd.620,15.191464,71.84075,apf,379000000,t,2459586.09951225
135694,1434230,cum.158,15.191464,71.84075,apf,470000000,t,2459569.0875853
135694,1434144,cul.620,15.191464,71.84075,apf,217000000,t,2459568.0919613
135694,1433945,cud.526,15.191464,71.84075,apf,525000000,t,2459559.82290733
135694,1433832,ctw.713,15.191464,71.84075,apf,201000000,t,2459552.84179934
135694,1433535,ctr.116,15.191464,71.84075,apf,281000000,t,2459547.85767936
135694,1432712,ctj.514,15.191464,71.84075,apf,192000000,t,2459539.96347937
135694,1432394,ctb.117,15.191464,71.84075,apf,240000000,t,2459531.90067139
135694,1432116,csu.619,15.191464,71.84075,apf,457000000,t,2459524.9944794
135694,1431922,csn.830,15.191464,71.84075,apf,180000000,t,2459517.97585742
135694,1431712,j438.69,15.191464,71.84075,hires_j,133268,t,2459513.70207868
135694,1431236,crw.611,15.191464,71.84075,apf,252000000,t,2459500.98888945
135694,1430808,j431.567,15.191464,71.84075,hires_j,60052,t,2459484.70987262
135694,1430437,j429.966,15.191464,71.84075,hires_j,60596,t,2459476.7111735
135694,1428918,j426.678,15.191464,71.84075,hires_j,60112,t,2459446.8711269
135694,1428240,coy.096,15.191464,71.84075,apf,126000000,t,2459424.83804552
135694,1427842,coq.094,15.191464,71.84075,apf,249000000,t,2459416.84533552
135694,1427772,j421.701,15.191464,71.84075,hires_j,250248,t,2459415.8309943
135694,1427713,j421.561,15.191464,71.84075,hires_j,167880,t,2459414.96148955
135694,1427491,col.695,15.191464,71.84075,apf,434000000,t,2459411.82010152
135694,1427294,j420.761,15.191464,71.84075,hires_j,250608,t,2459408.95240695
135694,1427099,cof.092,15.191464,71.84075,apf,385000000,t,2459405.81720652
135694,1427068,j420.266,15.191464,71.84075,hires_j,228424,t,2459405.97491298
135694,1427036,j420.65,15.191464,71.84075,hires_j,251012,t,2459404.96653663
135694,1426861,j419.91,15.191464,71.84075,hires_j,250132,t,2459399.85426657
135694,1426727,cnx.301,15.191464,71.84075,apf,332000000,t,2459397.88910352
135694,1426411,cnq.500,15.191464,71.84075,apf,260000000,t,2459390.91090852
135694,1426109,j416.881,15.191464,71.84075,hires_j,250328,t,2459386.82617577
135694,1426054,j416.681,15.191464,71.84075,hires_j,250644,t,2459385.82920536
