star_id,observation_id,instrument,ra_new,dec_new,vmag_new,counts,teff,vsini,logrhk,sval,bjd
77946,cfx.103,apf,9.11851,46.67243,9.0,23500000,,,,,2459189.76720529
135694,bqf.618,apf,15.191464,71.84075,nan,151000000,,,-5.21341221735826,0.13263554184,2458781.9629699
97658,beh.204,apf,11.242545,25.710385,7.71400022506714,1000000000,,,-4.91186722959175,0.190691955888,2458244.72892137
97658,j293.472,hires_j,11.242545,25.710385,7.71400022506714,250936,,,-4.97094356289235,0.1753,2458300.74967607
75732,j26.206,hires_j,8.8766142,28.330819,nan,406184,,,-4.92153682993843,0.201,2454083.98714929
155060,j414.330,hires_j,17.132206,32.105583,nan,253560,,,-5.0728057187245,0.1456,2459375.13136282
219134,beb.228,apf,23.221382,57.168355,5.57000017166138,1200000000,,,-4.81962538960701,0.32526252048,2458230.89375263
T001246,j420.66,hires_j,16.741058,70.429722,11.6300001144409,60040,,,-5.09038457372132,0.1535,2459404.97474473
219134,j197.273,hires_j,23.221382,57.168355,5.57000017166138,259696,,,-5.05187695614733,0.2004,2457061.70170744
T001347,j375.106,hires_j,18.688444,70.29,11.1700000762939,125016,5464.00956487,0.36486437849,-4.67004993612538,0.2874,2459027.98407653
HIP97166,cba.089,apf,19.749611,74.062667,9.85000038146973,165000000,,,-4.90309742066478,0.219665450537,2459062.75421139
237566,j444.101,hires_j,7.0055556,56.824167,9.40999984741211,250272,,,-5.08547870794897,0.1444,2459573.89903994
T001249,j458.391,hires_j,13.370772,66.308333,11.0900001525879,60012,,,-5.14032013683739,0.1411,2459681.83661315
156141,cxw.696,apf,17.155258,71.876667,8.85999965667725,309000000,,,,,2459656.89117783
T001798,j470.277,hires_j,14.07293,46.51928,11.3599996566772,60044,,,-5.1501067881873,0.2147,2459745.8086402
219134,aer.200,apf,23.221382,57.168355,5.57000017166138,351000000,,,-4.98188925000327,0.231279500118,2456826.81399562
332231,bxv.299,apf,20.449408,33.744167,8.5600004196167,129000000,,,-5.27486309918407,0.126422445398,2458979.82978399
75732,j49.2267,hires_j,8.8766142,28.330819,nan,256456,,,-4.90410820495663,0.207,2454461.06858561
T001272,j409.475,hires_j,13.279747,49.860833,11.8780002593994,60028,,,-4.68976170659595,0.3385,2459355.75583311
95072,cwc.099,apf,10.98515,40.98372,nan,540000000,,,,,2459610.80071069
T001444,j387.89,hires_j,20.364994,70.943611,10.9399995803833,108356,,,-5.14643254367004,0.1402,2459098.03800978
T001538,j371.118,hires_j,23.799714,47.655556,10.3500003814697,125064,,,-4.80034160268452,0.2014,2459011.09634367
HTR155-001,j91.328,hires_j,19.847261,48.080307,nan,125212,,,-4.58056877425293,0.605,2455343.92277787
235088,ddq.312,apf,20.040906,53.376472,nan,240000000,,,,,2459806.90047672
156141,j427.290,hires_j,17.155258,71.876667,8.85999965667725,250024,,,-5.0996573785995,0.1464,2459449.86768448
235088,dav.752,apf,20.040906,53.376472,nan,143000000,,,-4.53799697431767,0.497625035933,2459733.95883129
158259,bzv.104,apf,17.423349,52.790684,6.46999979019165,1040000000,,,-5.07887809335812,0.146911088407,2459031.88895564
97658,j63.1115,hires_j,11.242545,25.710385,7.71400022506714,250928,,,-4.98050431626847,0.173,2454809.14497865
6061,btw.783,apf,1.039875,37.185278,8.84000015258789,191000000,,,-4.82324503274044,0.186783529939,2458876.62098462
12572,j451.268,hires_j,2.0602583,21.280611,nan,231084,,,-5.04009937173876,0.1549,2459626.78432341
77946,cwn.088,apf,9.11851,46.67243,9.0,311000000,,,,,2459621.74104887
K00246,j119.104,hires_j,19.402155,49.040272,10.0799999237061,200108,,,-5.14442804764351,0.14,2455696.97468653
T000561,j467.92,hires_j,9.8790111,6.2158333,10.25,250004,,,-5.11174694946399,0.1458,2459724.82925236
HIP65469,j471.479,hires_j,13.41884,38.92237,9.97000026702881,125268,,,-4.46824663885915,0.6783,2459749.85175403
T000561,j401.396,hires_j,9.8790111,6.2158333,10.25,250148,,,-5.13233746894149,0.1424,2459268.84955265
97658,j152.1082,hires_j,11.242545,25.710385,7.71400022506714,251044,,,-4.87307340967917,0.202,2456102.74870208
97658,j351.180,hires_j,11.242545,25.710385,7.71400022506714,251552,,,-4.93847442083757,0.1835,2458795.14064488
97658,j82.480,hires_j,11.242545,25.710385,7.71400022506714,250140,,,-4.9847277279857,0.172,2455198.06195362
T001710,dcg.093,apf,6.2855889,76.210833,9.53999996185303,87100000,,,,,2459770.85049944
332231,bpz.092,apf,20.449408,33.744167,8.5600004196167,169000000,,,-5.0142172553157,0.152477426011,2458775.63930758
