"Name","toi","vmag","ra","dec","teff","vsini","svalue","logrhk","mass","radius","last_observed","last_observed_apf","last_observed_hires_j","have_template_hires_j","have_template_apf","tic","ruwe","evol","toi_cand","per","rp","in_tks_drop","in_tks_sc2a"
"T001386","1386","10.61","22.300272","54.318889","5699","1.686857687275","0.14825","-5.08730964350708","1.060286294625","1.079","20","242","20","1","0","343019899","0.95","MS","1386.01","null","6.89","0","0"
"T001391","1391","11.14","22.909003","54.161667","5226","0.71453718503355","0.1695","-5.03048574111571","0.8265109841275","0.8005","23","null","23","1","null","389182138","0.9","MS","1391.01","2.72638","2.6","0","0"
"T001410","1410","11.11","22.325522","42.560278","4506","2.35656591288","0.3335","-4.83469538060622","0.7661695454085","0.732","10","null","10","1","null","199444169","1","MS","1410.01","1.216835","3.3","0","1"
"T001422","1422","10.62","23.616056","39.639167","5871","1.5919260837705","0.14265","-5.11391655238394","0.9851324898715","1.0265","23","null","23","1","null","333473672","1.03","MS","1422.01","12.99844","3.36","0","1"
"T001435","1435","10.63","13.569197","67.621111","5138","0.7735782775736","0.1768","-4.99777348644563","0.8503902327455","0.8235","3","null","3","1","null","153976959","1","MS","1435.01","0.685999","1.3","0","1"
"T001438","1438","10.96","18.728253","74.937778","5261","2.22059230746","0.1863","-4.92367845662877","0.870341957391","0.797","239","null","239","0","null","229650439","0.84","MS","1438.01","5.14002","2.2","0","0"
"T001438","1438","10.96","18.728253","74.937778","5261","2.22059230746","0.1863","-4.92367845662877","0.870341957391","0.797","239","null","239","0","null","229650439","0.84","MS","1438.02","9.42713","2.29","0","0"
"T001441","1441","10.04","20.360861","58.140556","5876.5","0.831319823596391","0.1351","-5.17038983231716","0.9482054994135","1.151","9","null","9","1","null","233951353","1.1","MS","1441.01","22.095791","3","0","1"
"T001443","1443","10.67","19.826578","76.139167","5161","0.784311932392","0.1564","-5.06673264328888","0.749305795675","0.745","51","null","51","1","null","237232044","1.1","MS","1443.01","23.5352","2.3","0","0"
"T001444","1444","10.94","20.364994","70.943611","5431","0.944480420892","0.1425","-5.13097515470616","0.936580734859","0.901","42","null","42","0","null","258514800","0.9","MS","1444.01","0.470242","1.4","0","0"
"T001451","1451","9.58","12.434953","61.258889","5771","0.364064303092","0.143","-5.11980400780869","0.953109022542","1.06","14","20","14","1","1","417931607","1.1","MS","1451.01","33.072565","2.9","0","1"
"T001453","1453","11.11","17.214883","57.197778","4892","2.06119228826","0.1333","-5.21091779064802","0.714267371187","0.705","239","null","239","0","null","198390247","0.93","MS","1453.01","6.58868","2.36","0","0"
