star_id,runname,dvdt,curv,u_dvdt,u_curv
T001194,1pl_curv,nan,nan,nan,nan
T001194,1pl_curv,nan,nan,nan,nan
T001194,1pl_curv,0.0,2e-08,0.0,4.5e-05
T001194,1pl_circ,nan,nan,nan,nan
T001194,1pl_circ,nan,nan,nan,nan
T001194,1pl_circ,0.0,0.0,0.0,0.0
T001194,trend,nan,nan,nan,nan
T001194,trend,nan,nan,nan,nan
T001194,trend,0.006,0.0,0.012,0.0
T001194,ecc,nan,nan,nan,nan
T001194,ecc,nan,nan,nan,nan
T001194,ecc,0.0,0.0,0.0,0.0
T001194,default_cps,nan,nan,nan,nan
T001194,default_cps,nan,nan,nan,nan
T001194,default_cps,0.004,0.0,0.013,0.0
T001194,curv,nan,nan,nan,nan
T001194,curv,nan,nan,nan,nan
T001194,curv,0.0,0.00013,0.0,0.00011
T001194,circ,nan,nan,nan,nan
T001194,circ,nan,nan,nan,nan
T001194,circ,0.0,0.0,0.0,0.0
T001194,default,nan,nan,nan,nan
T001194,default,nan,nan,nan,nan
T001194,default,0.004,0.0,0.013,0.0
T001244,default_cps,nan,nan,nan,nan
T001244,default_cps,-1.85121404427757e-08,0.0,,
T001244,default_cps,-1.85121404427757e-08,0.0,,
T001244,default,nan,nan,nan,nan
T001244,default,-1.85121404427757e-08,0.0,,
T001244,default,-1.85121404427757e-08,0.0,,
T001246,minus_planet_e,nan,nan,nan,nan
T001246,minus_planet_e,nan,nan,nan,nan
T001246,minus_planet_e,nan,nan,nan,nan
T001246,minus_planet_e,nan,nan,nan,nan
T001246,minus_planet_e,-0.017,0.0,0.011,0.0
T001246,minus_planet_d,nan,nan,nan,nan
T001246,minus_planet_d,nan,nan,nan,nan
T001246,minus_planet_d,nan,nan,nan,nan
T001246,minus_planet_d,nan,nan,nan,nan
T001246,minus_planet_d,0.002,0.0,0.0099,0.0
T001246,minus_planet_c,nan,nan,nan,nan
T001246,minus_planet_c,nan,nan,nan,nan
T001246,minus_planet_c,nan,nan,nan,nan
T001246,minus_planet_c,nan,nan,nan,nan
T001246,minus_planet_c,-0.009,0.0,0.012,0.0
T001246,minus_planet_b,nan,nan,nan,nan
T001246,minus_planet_b,nan,nan,nan,nan
T001246,minus_planet_b,nan,nan,nan,nan
T001246,minus_planet_b,nan,nan,nan,nan
T001246,minus_planet_b,-0.01,0.0,0.01,0.0
T001246,default_cps,nan,nan,nan,nan
T001246,default_cps,nan,nan,nan,nan
T001246,default_cps,-0.04,0.0,0.013,0.0
T001246,4pl_ecc,nan,nan,nan,nan
T001246,4pl_ecc,nan,nan,nan,nan
T001246,4pl_ecc,nan,nan,nan,nan
T001246,4pl_ecc,nan,nan,nan,nan
T001246,4pl_ecc,-0.010575620610791,0.0,,
T001246,4pl_ecc,-0.010575620610791,0.0,,
T001246,4pl,nan,nan,nan,nan
T001246,4pl,nan,nan,nan,nan
T001246,4pl,nan,nan,nan,nan
T001246,4pl,nan,nan,nan,nan
T001246,4pl,nan,nan,nan,nan
T001246,4pl,-0.0005,0.0,0.0093,0.0
T001246,default,nan,nan,nan,nan
T001246,default,nan,nan,nan,nan
T001246,default,-0.04,0.0,0.013,0.0
T001248,default_cps,nan,nan,nan,nan
T001248,default_cps,nan,nan,nan,nan
T001248,default_cps,-80.6603881751998,0.0,2.7e+21,0.0
T001248,default,nan,nan,nan,nan
T001248,default,-6.39197219004778e-11,0.0,,
T001248,default,-6.39197219004778e-11,0.0,,
T001249,default_cps,nan,nan,nan,nan
T001249,default_cps,nan,nan,nan,nan
T001249,default_cps,-0.018,0.0,0.013,0.0
T001249,default,nan,nan,nan,nan
T001249,default,nan,nan,nan,nan
T001249,default,-0.018,0.0,0.013,0.0
T001269,default_cps,nan,nan,nan,nan
T001269,default_cps,0.0828646542019821,0.0,,
T001269,default_cps,0.0828646542019821,0.0,,
T001269,default,nan,nan,nan,nan
T001269,default,nan,nan,nan,nan
T001269,default,-1.0,0.0,1100.0,0.0
T001272,default_cps,nan,nan,nan,nan
T001272,default_cps,nan,nan,nan,nan
T001272,default_cps,-0.021,0.0,0.018,0.0
T001272,T001272_ecc,nan,nan,nan,nan
T001272,T001272_ecc,nan,nan,nan,nan
T001272,T001272_ecc,0.0,0.0,0.0,0.0
T001272,T001272_jit_2,nan,nan,nan,nan
T001272,T001272_jit_2,nan,nan,nan,nan
T001272,T001272_jit_2,-0.0235,0.0,0.0049,0.0
T001272,T001272_ecc_3planet-22day,nan,nan,nan,nan
T001272,T001272_ecc_3planet-22day,nan,nan,nan,nan
T001272,T001272_ecc_3planet-22day,nan,nan,nan,nan
T001272,T001272_ecc_3planet-22day,nan,nan,nan,nan
T001272,T001272_ecc_3planet-22day,-0.0204,0.0,0.0096,0.0
T001272,T001272_ecc_3planet,nan,nan,nan,nan
T001272,T001272_ecc_3planet,nan,nan,nan,nan
T001272,T001272_ecc_3planet,nan,nan,nan,nan
T001272,T001272_ecc_3planet,nan,nan,nan,nan
T001272,T001272_ecc_3planet,-0.0119,0.0,0.0094,0.0
T001272,T001272_ecc_2planet-9day,nan,nan,nan,nan
T001272,T001272_ecc_2planet-9day,nan,nan,nan,nan
T001272,T001272_ecc_2planet-9day,nan,nan,nan,nan
T001272,T001272_ecc_2planet-9day,0.0,0.0,0.0,0.0
T001272,T001272_ecc_2planet,nan,nan,nan,nan
T001272,T001272_ecc_2planet,nan,nan,nan,nan
T001272,T001272_ecc_2planet,nan,nan,nan,nan
T001272,T001272_ecc_2planet,0.016,0.0,0.045,0.0
T001272,circ,nan,nan,nan,nan
T001272,circ,nan,nan,nan,nan
T001272,circ,-0.012,0.0,0.016,0.0
T001272,default,nan,nan,nan,nan
T001272,default,nan,nan,nan,nan
T001272,default,-0.021,0.0,0.018,0.0
T001279,default_cps,nan,nan,nan,nan
T001279,default_cps,nan,nan,nan,nan
T001279,default_cps,-0.0112,0.0,0.0071,0.0
T001279,1pl_ecc,nan,nan,nan,nan
T001279,1pl_ecc,nan,nan,nan,nan
T001279,1pl_ecc,-0.0114,0.0,0.0073,0.0
T001279,default,nan,nan,nan,nan
T001279,default,nan,nan,nan,nan
T001279,default,-0.011,0.0,0.0071,0.0
T001288,T001288_2p_noTrend,nan,nan,nan,nan
T001288,T001288_2p_noTrend,nan,nan,nan,nan
T001288,T001288_2p_noTrend,nan,nan,nan,nan
T001288,T001288_2p_noTrend,0.0,0.0,0.0,0.0
T001288,default_cps,nan,nan,nan,nan
T001288,default_cps,nan,nan,nan,nan
T001288,default_cps,-0.007,0.0,0.016,0.0
T001288,default,nan,nan,nan,nan
T001288,default,nan,nan,nan,nan
T001288,default,-0.007,0.0,0.016,0.0
T001410,default_cps,nan,nan,nan,nan
T001410,default_cps,nan,nan,nan,nan
T001410,default_cps,-0.0141,0.0,0.0082,0.0
T001410,T001410_2planet_kesprint,nan,nan,nan,nan
T001410,T001410_2planet_kesprint,nan,nan,nan,nan
T001410,T001410_2planet_kesprint,nan,nan,nan,nan
T001410,T001410_2planet_kesprint,nan,nan,nan,nan
T001410,T001410_2planet_kesprint,-0.016,0.0,0.014,0.0
T001410,T001410_2planet_combined,nan,nan,nan,nan
T001410,T001410_2planet_combined,nan,nan,nan,nan
T001410,T001410_2planet_combined,nan,nan,nan,nan
