,tic,toi,cps,ra,dec,vmag,smass,sradius,evol,ruwe,rp,period
1511,354600221,1534.01,T001534,6.0747,57.8818,10.467,1.25,1.68,SG,0.84,3.93,1.4185
1514,173612049,1537.01,T001537,348.5816,44.5089,10.925,1.11,0.96,MS,,3.2,6.4905
1515,177244357,1538.01,T001538,356.9958,47.6557,10.352,1.12,1.12,MS,,5.63,6.5469
1519,367607434,1542.01,T001542,348.875,46.576,9.217,,3.1,RGB,,6.72,8.2916
1524,409520860,1547.01,T001547,355.4519,37.1866,11.114,1.15,1.4,MS,,3.46,0.7193
1525,440100539,1548.01,1300,4.358,42.2823,9.267000000000001,1.06,1.21,MS,0.97,3.34,12.6017
1531,299158887,1554.01,KEPLER-63,289.2262,49.5482,12.02,0.96,0.94,MS,,5.98,9.4353
1540,249945230,1563.01,T001563,38.8095,48.2742,10.445,0.72,0.74,MS,0.96,4.87,
1544,259151170,1567.01,T001567,50.345,52.6925,11.04,0.71,0.86,MS,1.11,21.06,
1548,285677945,1571.01,T001571,53.099,50.499,10.763,1.24,2.02,MS,0.97,6.05,1.2427
1550,302773669,1573.01,17156,42.4354,71.7532,8.17,1.1,1.55,SG,1.0,12.5,21.2164
1574,68152139,1597.01,T001597,44.402,40.0168,10.780999999999999,1.11,1.49,MS,0.94,4.68,0.7377
1575,67418624,1598.01,T001598,28.6604,37.0051,9.145,1.19,1.73,MS,1.08,3.78,1.1037
1578,139375960,1601.01,T001601,38.3614,41.0134,10.66,1.08,2.22,SG,1.0,14.61,5.3316
1582,101037590,1605.01,T001605,54.4811,33.0799,10.197000000000001,0.99,1.59,MS,1.15,12.87,8.7077
1585,138017750,1608.01,20891,50.8006,33.0784,7.96,1.15,2.13,SG,1.01,13.68,2.4727
1586,229951289,1609.01,T001609,288.6754,60.671,10.775,1.11,0.98,MS,1.07,2.68,13.3118
1587,219776325,1610.01,T001610,263.5434,61.1213,10.99,1.03,1.19,MS,1.07,2.55,2.5287
1588,264678534,1611.01,207897,325.1866,84.3335,8.37,0.85,0.78,MS,,2.37,16.2022
1589,268403451,1612.01,XO-7,277.4789,85.2332,10.520999999999999,1.14,1.53,MS,1.08,15.6,2.8641
1599,388076005,1622.01,T001622,318.0492,68.0523,9.92,1.11,1.0,MS,0.93,4.61,1.714
1603,157586003,1626.01,WASP-153,279.2624,40.0187,12.591,1.05,1.69,SG,0.97,16.51,3.3327
1604,424435940,1627.01,WASP-58,274.7011,45.172,11.652000000000001,1.12,1.1,MS,0.97,13.47,5.0171
1605,284475976,1628.01,WASP-48,291.1623,55.4731,11.647,1.17,1.77,SG,0.82,18.37,2.1436
1606,310003988,1629.01,WASP-113,224.8728,46.9601,11.761,1.08,1.73,SG,,17.17,4.5422
1620,298647682,1643.01,234571,272.2646,53.2176,9.533,0.77,0.78,MS,1.07,2.52,20.0787
1622,184679932,1645.01,T001645,32.294,40.402,9.722999999999999,1.19,1.31,MS,0.86,18.09,2.1721
1625,376353509,1648.01,T001648,45.401,69.2299,10.43,0.78,0.84,MS,0.91,2.49,7.3315
