star_id,day,instrument,0
154840,2021-07-10,hires_j,1
154840,2021-07-11,hires_j,1
154840,2021-07-13,hires_j,1
154840,2021-07-14,hires_j,1
154840,2021-07-16,hires_j,1
154840,2021-07-17,hires_j,1
154840,2021-07-19,hires_j,1
154840,2021-07-25,hires_j,1
156141,2020-05-30,hires_j,1
156141,2020-06-02,apf,1
156141,2020-06-03,apf,1
156141,2020-06-06,apf,1
156141,2020-06-09,apf,1
156141,2020-06-10,apf,1
156141,2020-06-11,apf,1
156141,2020-06-12,apf,1
156141,2020-06-16,apf,1
156141,2020-06-18,apf,1
156141,2020-06-19,apf,1
156141,2020-06-30,hires_j,1
156141,2020-07-06,hires_j,3
156141,2020-08-02,hires_j,1
156141,2020-08-25,hires_j,1
156141,2020-08-26,hires_j,1
156141,2020-08-27,hires_j,1
156141,2020-08-28,hires_j,1
156141,2020-08-29,hires_j,1
156141,2020-08-30,hires_j,1
156141,2020-08-31,hires_j,1
156141,2020-09-02,hires_j,1
156141,2020-09-05,hires_j,1
156141,2020-09-07,hires_j,1
156141,2020-09-22,hires_j,1
156141,2020-09-28,hires_j,1
156141,2020-09-30,hires_j,1
156141,2020-10-01,hires_j,1
156141,2020-11-02,hires_j,1
156141,2020-11-30,apf,1
156141,2020-12-02,apf,1
156141,2020-12-04,apf,1
156141,2020-12-06,apf,1
156141,2020-12-08,apf,1
156141,2020-12-13,apf,1
156141,2020-12-20,apf,1
156141,2021-01-09,apf,1
156141,2021-01-11,apf,1
156141,2021-01-14,apf,1
156141,2021-01-15,apf,1
156141,2021-01-18,apf,1
156141,2021-01-20,apf,1
156141,2021-01-22,apf,1
156141,2021-02-08,apf,1
156141,2021-02-17,apf,1
156141,2021-02-22,hires_j,1
156141,2021-02-23,apf,1
156141,2021-02-23,hires_j,1
156141,2021-02-24,apf,1
156141,2021-02-26,apf,1
156141,2021-03-01,apf,1
156141,2021-03-14,apf,1
156141,2021-03-22,apf,1
156141,2021-03-22,hires_j,1
156141,2021-03-27,apf,1
156141,2021-03-29,apf,1
156141,2021-03-31,apf,1
156141,2021-04-02,apf,1
156141,2021-04-04,apf,1
156141,2021-04-10,apf,1
156141,2021-04-12,apf,1
156141,2021-04-14,apf,1
156141,2021-04-16,apf,1
156141,2021-04-18,apf,1
156141,2021-04-20,apf,1
156141,2021-04-22,apf,1
156141,2021-04-24,apf,1
156141,2021-04-27,apf,1
156141,2021-04-29,apf,1
156141,2021-05-01,apf,1
156141,2021-05-03,apf,1
156141,2021-05-06,apf,1
156141,2021-05-08,apf,1
156141,2021-05-09,apf,1
156141,2021-05-11,apf,1
156141,2021-05-13,apf,1
156141,2021-05-15,apf,1
156141,2021-05-18,apf,1
156141,2021-05-20,hires_j,1
156141,2021-05-25,apf,1
156141,2021-05-26,apf,1
156141,2021-05-29,apf,1
156141,2021-05-30,apf,1
156141,2021-05-31,apf,1
156141,2021-06-01,apf,1
156141,2021-06-02,apf,1
156141,2021-06-02,hires_j,1
156141,2021-06-03,apf,1
156141,2021-06-03,hires_j,1
156141,2021-06-04,apf,1
156141,2021-06-05,apf,1
156141,2021-06-06,apf,1
156141,2021-06-07,apf,1
156141,2021-06-08,apf,1
156141,2021-06-09,apf,1
156141,2021-06-11,apf,1
156141,2021-06-12,apf,1
156141,2021-06-12,hires_j,1
156141,2021-06-13,apf,1
156141,2021-06-13,hires_j,1
156141,2021-06-14,apf,1
156141,2021-06-14,hires_j,1
156141,2021-06-15,apf,1
156141,2021-06-16,apf,1
156141,2021-06-16,hires_j,1
156141,2021-06-17,apf,1
156141,2021-06-18,apf,1
156141,2021-06-19,apf,1
156141,2021-06-20,apf,1
156141,2021-06-21,hires_j,1
156141,2021-06-22,apf,1
156141,2021-06-22,hires_j,1
156141,2021-06-23,apf,1
156141,2021-06-23,hires_j,1
156141,2021-06-24,apf,1
156141,2021-06-24,hires_j,1
156141,2021-06-25,apf,1
156141,2021-06-26,apf,1
156141,2021-06-27,apf,1
156141,2021-06-28,apf,1
156141,2021-06-29,apf,1
156141,2021-06-30,apf,1
156141,2021-07-01,apf,1
156141,2021-07-02,apf,1
156141,2021-07-03,apf,1
156141,2021-07-04,apf,1
156141,2021-07-04,hires_j,1
156141,2021-07-06,apf,1
156141,2021-07-07,apf,1
156141,2021-07-09,apf,1
156141,2021-07-09,hires_j,1
156141,2021-07-10,apf,1
156141,2021-07-11,apf,1
156141,2021-07-11,hires_j,1
156141,2021-07-12,apf,1
156141,2021-07-13,apf,1
156141,2021-07-13,hires_j,1
156141,2021-07-14,hires_j,1
156141,2021-07-16,apf,1
156141,2021-07-16,hires_j,1
156141,2021-07-17,apf,1
156141,2021-07-17,hires_j,1
156141,2021-07-18,apf,1
156141,2021-07-18,hires_j,1
156141,2021-07-19,apf,1
156141,2021-07-19,hires_j,1
156141,2021-07-20,apf,1
156141,2021-07-21,apf,1
156141,2021-07-22,apf,1
156141,2021-07-23,apf,1
156141,2021-07-24,apf,1
156141,2021-07-25,apf,1
156141,2021-07-25,hires_j,1
156141,2021-07-26,apf,1
191939,2019-11-08,hires_j,1
191939,2019-11-15,hires_j,1
191939,2019-11-28,hires_j,1
191939,2019-12-02,hires_j,1
191939,2019-12-10,hires_j,1
191939,2019-12-15,hires_j,1
191939,2019-12-16,hires_j,1
191939,2019-12-17,apf,2
191939,2019-12-20,apf,2
191939,2019-12-27,hires_j,1
191939,2019-12-28,hires_j,1
191939,2019-12-29,apf,2
191939,2020-01-04,apf,2
191939,2020-01-04,hires_j,1
191939,2020-01-06,apf,2
191939,2020-01-09,hires_j,1
191939,2020-01-11,apf,2
191939,2020-01-12,apf,2
191939,2020-01-23,apf,2
191939,2020-01-28,apf,2
191939,2020-02-01,apf,2
191939,2020-02-02,apf,1
191939,2020-02-06,apf,1
191939,2020-02-17,apf,1
191939,2020-02-28,apf,1
191939,2020-03-04,apf,1
191939,2020-03-06,apf,1
191939,2020-03-13,apf,1
191939,2020-04-15,apf,1
